source	isgene
ARIPIPRAZOLE	2
CABERGOLINE	2
ZIPRASIDONE	2
VILAZODONE	2
CARIPRAZINE	2
FLUPHENAZINE ENANTHATE	2
ORDOPIDINE	2
LURASIDONE HYDROCHLORIDE	2
YOHIMBINE	2
LISURIDE	2
PARDOPRUNOX	2
DESIPRAMINE	2
TRIMIPRAMINE MALEATE	2
PERGOLIDE	2
ASENAPINE	2
ROPINIROLE HYDROCHLORIDE	2
PIMOZIDE	2
BUSPIRONE	2
ACEPROMAZINE	2
RISPERIDONE	2
TETRABENAZINE	2
PERGOLIDE MESYLATE	2
QUINPIROLE	2
CHLORPROTHIXENE	2
SERTINDOLE	2
AMANTADINE	2
THIORIDAZINE HYDROCHLORIDE	2
APOMORPHINE HYDROCHLORIDE	2
ALIZAPRIDE	2
ZUCLOPENTHIXOL	2
ROTIGOTINE	2
LOXAPINE HYDROCHLORIDE	2
BROMOPRIDE	2
ACETOPHENAZINE	2
CLOZAPINE	2
AMOXAPINE	2
PROMETHAZINE	2
PALIPERIDONE	2
CARIPRAZINE HYDROCHLORIDE	2
PIPOTIAZINE	2
THIETHYLPERAZINE MALATE	2
METOCLOPRAMIDE HYDROCHLORIDE	2
LOXAPINE	2
CARPHENAZINE	2
PERPHENAZINE	2
HALOPERIDOL LACTATE	2
THIOTHIXENE HYDROCHLORIDE	2
TRIFLUPROMAZINE	2
TERGURIDE	2
DOMPERIDONE	2
LEVOMEPROMAZINE	2
PROCHLORPERAZINE	2
PRAMIPEXOLE DIHYDROCHLORIDE	2
DROPERIDOL	2
THIORIDAZINE	2
PROCHLORPERAZINE EDISYLATE	2
APOMORPHINE	2
BROMOCRIPTINE MESYLATE	2
MESORIDAZINE BESYLATE	2
ROXINDOLE	2
ETICLOPRIDE	2
APLINDORE FUMARATE	2
LURASIDONE	2
PIRIBEDIL	2
FLUPHENAZINE	2
PROCHLORPERAZINE MALEATE	2
IMIPRAMINE	2
BENPERIDOL	2
PROPIOMAZINE	2
AMISULPRIDE	2
ERGOLOID MESYLATES	2
BENZQUINAMIDE	2
ZOTEPINE	2
ACETOPHENAZINE MALEATE	2
MINAPRINE	2
THIOTHIXENE	2
THIETHYLPERAZINE	2
OLANZAPINE PAMOATE	2
MIANSERIN	2
PROMAZINE	2
PRIDOPIDINE	2
BENZQUINAMIDE HYDROCHLORIDE	2
BIFEPRUNOX	2
MAPROTILINE	2
QUINELORANE	2
BLONANSERIN	2
TIAPRIDE	2
THIOPROPERAZINE	2
KETAMINE	2
SARIZOTAN HYDROCHLORIDE	2
THIETHYLPERAZINE MALEATE	2
TRIFLUOPERAZINE	2
ROPINIROLE	2
LOXAPINE SUCCINATE	2
FLUPHENAZINE HYDROCHLORIDE	2
SERIDOPIDINE	2
TRIFLUPROMAZINE HYDROCHLORIDE	2
MOLINDONE HYDROCHLORIDE	2
ERGOTAMINE	2
MESORIDAZINE	2
ARIPIPRAZOLE LAUROXIL	2
HALOPERIDOL DECANOATE	2
SB-773812	2
QUETIAPINE FUMARATE	2
NORTRIPTYLINE	2
MOLINDONE	2
BROMOCRIPTINE	2
TRIFLUOPERAZINE HYDROCHLORIDE	2
METOCLOPRAMIDE	2
LUMATEPERONE	2
ZIPRASIDONE MESYLATE	2
FLUSPIRILENE	2
CHLORPROMAZINE HYDROCHLORIDE	2
PROMAZINE HYDROCHLORIDE	2
REMOXIPRIDE	2
NAFADOTRIDE	2
RACLOPRIDE	2
TRIMIPRAMINE	2
ETOPERIDONE	2
JNJ-37822681	2
ESCITALOPRAM	2
SARIZOTAN	2
PAROXETINE	2
TETRAHYDROPALMATINE	2
PIPAMPERONE	2
QUINAGOLIDE	2
MELPERONE	2
CINNARIZINE	2
LAMOTRIGINE	2
DIHYDROERGOCRYPTINE	2
TALIPEXOLE	2
BICIFADINE	2
DAPIPRAZOLE	2
COCAINE	2
BROMPERIDOL	2
PIMAVANSERIN	2
METHYLDOPA	2
METHAMPHETAMINE	2
AMITIFADINE	2
BEVANTOLOL	2
5-OH-DPAT	2
ZICRONAPINE	2
ANIRACETAM	2
BUPROPION	2
APLINDORE	2
PSEUDOEPHEDRINE	2
ETILEVODOPA	2
DEXPRAMIPEXOLE	2
DIHYDREXIDINE	2
DIACETYLMORPHINE	2
SUMATRIPTAN	2
ALCOHOL	2
DIHYDROERGOTAMINE	2
RISPERDAL	2
PIPERACETAZINE	2
ONC-201	2
METHADONE	2
STEPHOLIDINE	2
UMESPIRONE	2
RASAGILINE	2
PERAZINE	2
ROLICYCLIDINE	2
NICOTINE	2
BL-1020	2
DOCARPAMINE	2
LITHIUM	2
BRASOFENSINE	2
CARMOXIROLE	2
ERGONOVINE	2
ABAPERIDONE	2
E-FLUPENTIXOL	2
MELEVODOPA	2
MORPHINE	2
MEPHENTERMINE	2
METHYLPHENIDATE	2
PHENTOLAMINE	2
PHENOXYBENZAMINE	2
TOLAZOLINE	2
OCAPERIDONE	2
PHENYLTOLOXAMINE	2
DENOPAMINE	2
DISULFIRAM	2
DOPEXAMINE	2
NAPHAZOLINE	2
NEMONAPRIDE	2
PHENYLEPHRINE	2
ITOPRIDE	2
EPHEDRINE	2
METARAMINOL	2
RAUWOLSCINE	2
NOREPINEPHRINE	2
DEXMEDETOMIDINE HYDROCHLORIDE	2
TIZANIDINE	2
NOREPINEPHRINE BITARTRATE	2
XYLOMETAZOLINE	2
EPINEPHRINE	2
RAUWOLFIA SERPENTINA	2
OXYMETAZOLINE	2
HYDROXYAMPHETAMINE HYDROBROMIDE	2
NAPHAZOLINE HYDROCHLORIDE	2
SPIROXATRINE	2
CARVEDILOL	2
TIZANIDINE HYDROCHLORIDE	2
CLONIDINE HYDROCHLORIDE	2
MIRTAZAPINE	2
APRACLONIDINE	2
ALSEROXYLON	2
GUANFACINE HYDROCHLORIDE	2
CLONIDINE	2
XYLAZINE	2
METHYLDOPATE HYDROCHLORIDE	2
EPHEDRA	2
PHENOXYBENZAMINE HYDROCHLORIDE	2
OXYMETAZOLINE HYDROCHLORIDE	2
MEPHENTERMINE SULFATE	2
BRIMONIDINE	2
LEVONORDEFRIN	2
CHEMBL362051	2
DROXIDOPA	2
GUANFACINE	2
PRAZOSIN	2
DEXMEDETOMIDINE	2
FADOLMIDINE HYDROCHLORIDE	2
LABETALOL HYDROCHLORIDE	2
BRIMONIDINE TARTRATE	2
GUANABENZ ACETATE	2
GUANABENZ	2
FENOLDOPAM	2
ESMIRTAZAPINE MALEATE	2
PHENTOLAMINE MESYLATE	2
APRACLONIDINE HYDROCHLORIDE	2
AGMATINE	2
EPINEPHRINE BITARTRATE	2
TETRAHYDROZOLINE HYDROCHLORIDE	2
TOLAZOLINE HYDROCHLORIDE	2
LOFEXIDINE	2
DIPIVEFRIN HYDROCHLORIDE	2
DRONEDARONE	2
PIZOTYLINE	2
CELIPROLOL	2
RACEPINEPHRINE	2
TETRAHYDROZOLINE	2
AMOSULALOL	2
FIPAMEZOLE	2
AMEZINIUM	2
BETHANIDINE	2
BUCINDOLOL	2
TETRASUL	2
DEBRISOQUIN	2
CHEMBL609728	2
PROPYLHEXEDRINE	2
SENREBOTASE	2
DIHYDROERGOCRISTINE	2
MEDETOMIDINE	2
MOXONIDINE	2
RILMENIDINE	2
ORM-12741	2
ISOPROTERENOL	2
FADOLMIDINE	2
CYCLOBENZAPRINE	2
PYRIDOXAL PHOSPHATE	2
GLUTAMIC ACID	2
NI-0801	2
REGRAMOSTIM	2
METHYLPREDNISOLONE	2
ANTIBIOTIC	2
RITONAVIR	2
STAVUDINE	2
ATORVASTATIN	2
ATROPINE	2
TESTOSTERONE	2
OXALIPLATIN	2
ELDELUMAB	2
ZIDOVUDINE	2
CLOVE OIL	2
INCOBOTULINUMTOXINA	2
ONABOTULINUMTOXINA	2
ABOBOTULINUMTOXINA	2
DIAZOXIDE	2
ANTHRANILIC ACID	2
FLAVIN ADENIN DINUCLEOTIDE	2
RITUXIMAB	2
FONTOLIZUMAB	2
EMAPALUMAB	2
MELATONIN	2
CISPLATIN	2
IBUPROFEN	2
THEOPHYLLINE	2
PEFLOXACIN	2
TRASTUZUMAB	2
SURAMIN	2
PREDNISONE	2
GLUCOSAMINE	2
OLSALAZINE	2
BLEOMYCIN	2
AMIKACIN	2
CYCLOPHOSPHAMIDE	2
MELPHALAN	2
THROMBIN	2
AMITRIPTYLINE	2
HEXACHLOROPHENE	2
