source	isgene
YOHIMBINE	2
KETAMINE	2
NAPHAZOLINE	2
PROCHLORPERAZINE	2
TRIFLUPROMAZINE	2
AMISULPRIDE	2
PIRIBEDIL	2
ARIPIPRAZOLE	2
METOCLOPRAMIDE	2
PROMAZINE	2
PALIPERIDONE	2
BUSPIRONE	2
IMIPRAMINE	2
FLUSPIRILENE	2
BENZQUINAMIDE HYDROCHLORIDE	2
ACETOPHENAZINE	2
ASENAPINE MALEATE	2
DOPEXAMINE	2
BUPROPION	2
BENZQUINAMIDE	2
RISPERIDONE	2
TRIMIPRAMINE MALEATE	2
ILOPERIDONE	2
ROTIGOTINE	2
PSEUDOEPHEDRINE	2
DISULFIRAM	2
METOCLOPRAMIDE HYDROCHLORIDE	2
APRACLONIDINE HYDROCHLORIDE	2
GUANABENZ ACETATE	2
ISOPROTERENOL	2
PHENOXYBENZAMINE HYDROCHLORIDE	2
DEBRISOQUIN	2
GUANFACINE	2
GUANFACINE HYDROCHLORIDE	2
XYLOMETAZOLINE	2
GUANABENZ	2
MIRTAZAPINE	2
TIZANIDINE	2
CYCLOBENZAPRINE	2
PHENTOLAMINE MESYLATE	2
FENOLDOPAM	2
NOREPINEPHRINE	2
NAPHAZOLINE HYDROCHLORIDE	2
DROXIDOPA	2
EPINEPHRINE BITARTRATE	2
CELIPROLOL	2
LOFEXIDINE	2
BRIMONIDINE TARTRATE	2
APRACLONIDINE	2
LEVONORDEFRIN	2
OXYMETAZOLINE	2
DIPIVEFRIN HYDROCHLORIDE	2
TETRAHYDROZOLINE	2
ALSEROXYLON	2
BRIMONIDINE	2
METHYLDOPATE HYDROCHLORIDE	2
TETRAHYDROZOLINE HYDROCHLORIDE	2
HYDROXYAMPHETAMINE HYDROBROMIDE	2
LABETALOL HYDROCHLORIDE	2
NOREPINEPHRINE BITARTRATE	2
OXYMETAZOLINE HYDROCHLORIDE	2
TIZANIDINE HYDROCHLORIDE	2
CLONIDINE	2
PRAZOSIN	2
CARVEDILOL	2
DEXMEDETOMIDINE	2
BETHANIDINE	2
DRONEDARONE	2
TOLAZOLINE HYDROCHLORIDE	2
RAUWOLFIA SERPENTINA	2
MOXONIDINE	2
CLONIDINE HYDROCHLORIDE	2
DEXMEDETOMIDINE HYDROCHLORIDE	2
EPINEPHRINE	2
ATROPINE	2
ZIDOVUDINE	2
STAVUDINE	2
ATORVASTATIN	2
OXALIPLATIN	2
TESTOSTERONE	2
METHYLPREDNISOLONE	2
RITONAVIR	2
ONABOTULINUMTOXINA	2
INCOBOTULINUMTOXINA	2
ABOBOTULINUMTOXINA	2
DIAZOXIDE	2
RITUXIMAB	2
AMIKACIN	2
MELATONIN	2
AMITRIPTYLINE	2
CISPLATIN	2
CYCLOPHOSPHAMIDE	2
OLSALAZINE	2
EMAPALUMAB	2
PREDNISONE	2
THROMBIN	2
PEFLOXACIN	2
BLEOMYCIN	2
MELPHALAN	2
TRASTUZUMAB	2
IBUPROFEN	2
GLUCOSAMINE	2
THEOPHYLLINE	2
HEXACHLOROPHENE	2
