search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
TNFRSF9	TNFRSF9	Definite	TNFRSF9	URELUMAB	antibody|agonist	DrugBank|ChemblInteractions|GuideToPharmacology|TTD	""
IDO1	IDO1	Definite	IDO1	LINRODOSTAT	inhibitor	GuideToPharmacology|TTD	""
IDO1	IDO1	Definite	IDO1	EPACADOSTAT	inhibitor	ChemblInteractions|GuideToPharmacology|TTD	""
IDO1	IDO1	Definite	IDO1	NECROSTATIN	inhibitor	GuideToPharmacology	""
IDO1	IDO1	Definite	IDO1	NORHARMANE	inhibitor	GuideToPharmacology	""
IDO1	IDO1	Definite	IDO1	PF-06840003	inhibitor	GuideToPharmacology|TTD	""
IDO1	IDO1	Definite	IDO1	TRYPTANTHRIN	inhibitor	GuideToPharmacology	""
IDO1	IDO1	Definite	IDO1	NAVOXIMOD	inhibitor	GuideToPharmacology	""
IDO1	IDO1	Definite	IDO1	NABIXIMOLS	inhibitor	DrugBank	26264914
IDO1	IDO1	Definite	IDO1	CANNABIDIOL	inhibitor	DrugBank	26264914
IDO1	IDO1	Definite	IDO1	PHENYLHYDRAZINE	""	DTC	24262887
IDO1	IDO1	Definite	IDO1	CHEMBL1933308	""	DTC	24262887
IDO1	IDO1	Definite	IDO1	CHEMBL1224312	""	DTC	20688518
IDO1	IDO1	Definite	IDO1	CHEMBL14145	""	DTC	24262887
IDO1	IDO1	Definite	IDO1	TRYPTOPHAN	""	TTD	""
IDO1	IDO1	Definite	IDO1	2-MERCAPTOBENZOTHIAZOLE	""	DTC	24262887
IDO1	IDO1	Definite	IDO1	CHEMBL1668301	""	DTC	21419531
CNR2	CNR2	Definite	CNR2	CHEMBL561013	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	TEDALINAB	agonist	ChemblInteractions|TTD	""
CNR2	CNR2	Definite	CNR2	IBIPINABANT	antagonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	GW842166X	agonist	ChemblInteractions	""
CNR2	CNR2	Definite	CNR2	NABILONE	partial agonist|agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	17450170|11698062|11786493|15221424|17139494
CNR2	CNR2	Definite	CNR2	ANANDAMIDE	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	LENABASUM	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	NONABINE	agonist	ChemblInteractions	""
CNR2	CNR2	Definite	CNR2	CHEMBL371214	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	OLORINAB	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	SURINABANT	antagonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	PRS-211375	agonist	TdgClinicalTrial|ChemblInteractions	""
CNR2	CNR2	Definite	CNR2	CHEMBL181633	antagonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	TARANABANT	agonist	DTC|GuideToPharmacology	20423086
CNR2	CNR2	Definite	CNR2	LY2828360	agonist	ChemblInteractions|TTD	""
CNR2	CNR2	Definite	CNR2	2-ARACHIDONOYLGLYCEROL	agonist	DTC|GuideToPharmacology	17110113
CNR2	CNR2	Definite	CNR2	DRONABINOL	agonist	DrugBank|TdgClinicalTrial	19226257|17139494
CNR2	CNR2	Definite	CNR2	DEXANABINOL	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	SAD448	agonist	ChemblInteractions	""
CNR2	CNR2	Definite	CNR2	CHEMBL497392	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	CHEMBL1354658	agonist	GuideToPharmacology	""
CNR2	CNR2	Definite	CNR2	CANNABIDIOL	antagonist	DrugBank	""
CNR2	CNR2	Definite	CNR2	LASOFOXIFENE	inverse agonist	DrugBank	24275139
CNR2	CNR2	Definite	CNR2	TETRAHYDROCANNABIVARIN	partial agonist	DrugBank	28120232
CNR2	CNR2	Definite	CNR2	CHEMBL285932	""	DTC	19435366
CNR2	CNR2	Definite	CNR2	CHEMBL306764	""	TTD	""
CNR2	CNR2	Definite	CNR2	HONOKIOL	""	DTC	""
CNR2	CNR2	Definite	CNR2	N-[6-(4-CHLOROPHENYL)-7-(2,4-DICHLOROPHENYL)-2,2-DIMETHYL-3,4-DIHYDRO-2H-PYRANO[2,3-B]PYRIDINE-4-YL]-4,4,4-TRIFLUORO-3-HYDROXYBUTANAMIDE (DIASTEREOMERIC MIX)	""	DTC	20423086
CNR2	CNR2	Definite	CNR2	CP-55940	""	DTC	25760146
CNR2	CNR2	Definite	CNR2	FERRUGINENE C	""	DTC	21443171
CNR2	CNR2	Definite	CNR2	NABIXIMOLS	""	DrugBank	""
CNR2	CNR2	Definite	CNR2	CHEMBL3186422	""	DrugBank	16406364
CNR2	CNR2	Definite	CNR2	S-777469	""	TTD	""
CNR2	CNR2	Definite	CNR2	WIN-552122	""	DTC	25134064
S1PR5	S1PR5	Definite	S1PR5	FINGOLIMOD	modulator|agonist	DrugBank|GuideToPharmacology	23579456|23579459
S1PR5	S1PR5	Definite	S1PR5	OZANIMOD	agonist	DrugBank|GuideToPharmacology	29125718|28398597|31492652
S1PR5	S1PR5	Definite	S1PR5	SIPONIMOD	agonist|modulator	DrugBank|ChemblInteractions|GuideToPharmacology	26856814|29735753|29138536
S1PR5	S1PR5	Definite	S1PR5	FINGOLIMOD HYDROCHLORIDE	agonist	ChemblInteractions	""
S1PR5	S1PR5	Definite	S1PR5	PONESIMOD	agonist	GuideToPharmacology	""
S1PR5	S1PR5	Definite	S1PR5	AMISELIMOD HYDROCHLORIDE	modulator	ChemblInteractions	""
S1PR5	S1PR5	Definite	S1PR5	ETRASIMOD	agonist	GuideToPharmacology	""
S1PR5	S1PR5	Definite	S1PR5	ASP-4058	agonist	GuideToPharmacology|TTD	""
CARTPT	CARTPT	Definite	CARTPT	AMPHETAMINE	agonist	DrugBank|TdgClinicalTrial	15597110|15661821|15680473|16713658|15644956|15680478
CARTPT	CARTPT	Definite	CARTPT	PROGESTERONE	""	NCI	18598674
CARTPT	CARTPT	Definite	CARTPT	DEXAMETHASONE	""	NCI	12591118
CARTPT	CARTPT	Definite	CARTPT	INSULIN	""	NCI	12883265
IL1A	IL1A	Definite	IL1A	BERMEKIMAB	inhibitor	ChemblInteractions|TTD	""
IL1A	IL1A	Definite	IL1A	RILONACEPT	binder	DrugBank|TdgClinicalTrial|TEND	23319019|23553601
IL1A	IL1A	Definite	IL1A	OLANZAPINE	""	PharmGKB	21107309
IL1A	IL1A	Definite	IL1A	AMG-108	""	TdgClinicalTrial	""
IL1A	IL1A	Definite	IL1A	HYDROXYCHLOROQUINE	""	NCI	8336306
IL1A	IL1A	Definite	IL1A	MABP1	""	TTD	""
DRD2	DRD2	Definite	DRD2	OLANZAPINE	antagonist|agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|PharmGKB|TTD	22967772|9713903|20714340|15694263|14575800|28673279|23859574|18180754|16730699|11505224|17092971|17105675|17316700|18926547|16123753|11920858|991813|14610521|17848919|17067304|18086475|18579277|20375926|25563748|11752352|9858029|15830237|25032030|26872113|17767146|16513877|23851570|20194480|9918131|21095016
DRD2	DRD2	Definite	DRD2	ASENAPINE MALEATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	SULPIRIDE	antagonist	DTC|DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	22632094|7518029|12010185|11752352
DRD2	DRD2	Definite	DRD2	ILOPERIDONE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|TTD	12861482|8997630
DRD2	DRD2	Definite	DRD2	MEMANTINE	agonist|antagonist	DrugBank	21130810|18000814|25540723|26471421
DRD2	DRD2	Definite	DRD2	FLUPENTIXOL	antagonist	DTC|DrugBank|GuideToPharmacology	6149133|8797192|21421319|1674528|11873706|7498321|17111172|11752352
DRD2	DRD2	Definite	DRD2	HALOPERIDOL	inverse agonist|antagonist	DTC|DrugBank|TdgClinicalTrial|ChemblInteractions|NCI|TEND|GuideToPharmacology|PharmGKB|TTD	15894081|15184239|19603545|15492764|18180754|27023437|16730699|15286066|10823405|18855532|17316700|18926547|18781856|17134027|12587665|11329406|21421319|1839129|19179847|19944883|1969501|18086475|7520908|10395223|18781857|15077009|11752352|17989061|15830237|17767146|18354387|9672901|19396436|12629531|15146457|19273465|19853839|10862524|12887421|19373123|20643630|16132064
DRD2	DRD2	Definite	DRD2	SUMANIROLE	agonist	DrugBank|GuideToPharmacology|TTD	""
DRD2	DRD2	Definite	DRD2	PEROSPIRONE	antagonist	DrugBank|GuideToPharmacology	9595296
DRD2	DRD2	Definite	DRD2	CHLORPROMAZINE	antagonist	DrugBank|ChemblInteractions|GuideToPharmacology|PharmGKB|TTD	7908055|15694263|28673279|11505224|17105675|18926547|16867246|11873706|11103886|11752352|9858029|15830237|16513877|8524985|20194480|9918131|20643630
DRD2	DRD2	Definite	DRD2	ZIPRASIDONE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	DOPAMINE	agonist	DrugBank|GuideToPharmacology|TTD	17301410|11752352
DRD2	DRD2	Definite	DRD2	CARPHENAZINE MALEATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	FLUPHENAZINE DECANOATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	QUETIAPINE	antagonist	DTC|DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	21421319|17848919|11132243|11873706|10839333|11752352
DRD2	DRD2	Definite	DRD2	BREXPIPRAZOLE	partial agonist|agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|GuideToPharmacology|TTD	24947465
DRD2	DRD2	Definite	DRD2	LEVODOPA	agonist	DrugBank|TdgClinicalTrial|TEND|PharmGKB|TTD	11978145|18549347|15824260|15710490|17553470|27779245|15728856|9633680
DRD2	DRD2	Definite	DRD2	PRAMIPEXOLE	agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	22023785|9617505|18691132|10641988|9638397|11752352
DRD2	DRD2	Definite	DRD2	ARIPIPRAZOLE	agonist|partial agonist|antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|PharmGKB|TTD	9713903|15694263|28673279|16973280|11505224|17105675|9083792|18926547|16123753|11920858|991813|14610521|16925992|16981227|18583979|19158809|19900188|10327430|11752352|16366516|9858029|15830237|16513877|18687376|20194480|17501690|9918131|15567074|17087792|19582781|26346901
DRD2	DRD2	Definite	DRD2	CABERGOLINE	agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|PharmGKB|TTD	12721865|18303487|8951172|12008749|12464354|18808942|15341508|11436517|11752352
DRD2	DRD2	Definite	DRD2	ZIPRASIDONE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	15726024|17848919|7562537|11873706|11752352|14728084
DRD2	DRD2	Definite	DRD2	VILAZODONE	agonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	CARIPRAZINE	agonist|partial agonist	DrugBank|TdgClinicalTrial|GuideToPharmacology|TTD	23320989
DRD2	DRD2	Definite	DRD2	FLUPHENAZINE ENANTHATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	ORDOPIDINE	modulator	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	LURASIDONE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	YOHIMBINE	antagonist	DrugBank	10611634
DRD2	DRD2	Definite	DRD2	LISURIDE	agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	18691132|11752352
DRD2	DRD2	Definite	DRD2	PARDOPRUNOX	partial agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TTD	""
DRD2	DRD2	Definite	DRD2	DESIPRAMINE	binder	DrugBank	7855217
DRD2	DRD2	Definite	DRD2	TRIMIPRAMINE MALEATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	PERGOLIDE	agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|PharmGKB|TTD	16842172|2860228|18691132|3828803|1674528|10641988|18808942|11752352|10516878
DRD2	DRD2	Definite	DRD2	ASENAPINE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology	21658377|18308814|21655346
DRD2	DRD2	Definite	DRD2	ROPINIROLE HYDROCHLORIDE	agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	PIMOZIDE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|TTD	8301582|7855217|8082693|11873706|10503726|11752352|2378927|12828573
DRD2	DRD2	Definite	DRD2	BUSPIRONE	antagonist	DrugBank|TdgClinicalTrial|TEND	16214127|14522358|12781354|11421254|11224194
DRD2	DRD2	Definite	DRD2	ACEPROMAZINE	antagonist	DrugBank	15694263|16867246|11873706|11103886|11752352|20643630
DRD2	DRD2	Definite	DRD2	RISPERIDONE	antagonist	DTC|DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|PharmGKB|TTD	15184239|9713903|20714340|19603545|15694263|28673279|23859574|15492764|18180754|17059881|16730699|11505224|17105675|15286066|10823405|18855532|18926547|16123753|18781856|11920858|12587665|11329406|21421319|991813|14610521|1839129|11132243|19179847|19944883|1969501|18086475|18579277|10395223|20375926|18781857|15077009|11752352|17989061|9858029|15830237|25943458|26872113|17767146|15140279|16513877|18354387|23851570|9672901|19396436|15146457|19273465|19853839|15907153|20194480|10862524|9918131|19373123|16513859
DRD2	DRD2	Definite	DRD2	TETRABENAZINE	inhibitor	DrugBank	""
DRD2	DRD2	Definite	DRD2	PERGOLIDE MESYLATE	agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	QUINPIROLE	agonist	DTC|GuideToPharmacology	21536445|21388142|26164842|21999579|25969169
DRD2	DRD2	Definite	DRD2	CHLORPROTHIXENE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|TTD	1830565|19091563|8101879|11752352
DRD2	DRD2	Definite	DRD2	SERTINDOLE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology	16925508|19506838|11752352|18293356|20856607
DRD2	DRD2	Definite	DRD2	AMANTADINE	agonist	DrugBank	10443547|9098680|8566141|9806328
DRD2	DRD2	Definite	DRD2	THIORIDAZINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	APOMORPHINE HYDROCHLORIDE	agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	ALIZAPRIDE	antagonist	DrugBank	7865862|8103596|2943980|10075867
DRD2	DRD2	Definite	DRD2	ZUCLOPENTHIXOL	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	17535043|11752352|8748043|1822319
DRD2	DRD2	Definite	DRD2	ROTIGOTINE	agonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology	18691132
DRD2	DRD2	Definite	DRD2	LOXAPINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	BROMOPRIDE	antagonist	DrugBank	14871277
DRD2	DRD2	Definite	DRD2	ACETOPHENAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	6147851|11873706|11752352|17139284|17016423
DRD2	DRD2	Definite	DRD2	CLOZAPINE	antagonist	DTC|DrugBank|TdgClinicalTrial|ChemblInteractions|NCI|TEND|GuideToPharmacology|PharmGKB	9713903|15781964|20714340|15694263|14575800|28673279|23859574|18180754|11505224|17105675|15286066|18926547|16123753|11920858|21421319|991813|14610521|12769622|18086475|18579277|20375926|11752352|9858029|15830237|26872113|17767146|16513877|16040180|23851570|20194480|9918131|12887421
DRD2	DRD2	Definite	DRD2	AMOXAPINE	antagonist	DrugBank|ChemblInteractions	1966571|11180191
DRD2	DRD2	Definite	DRD2	PROMETHAZINE	antagonist	DrugBank	12476402
DRD2	DRD2	Definite	DRD2	PALIPERIDONE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND	11132243|12211096|11752352|7524043|16119512|7531353|16513859
DRD2	DRD2	Definite	DRD2	CARIPRAZINE HYDROCHLORIDE	modulator	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	PIPOTIAZINE	antagonist	DrugBank|GuideToPharmacology	15694263|2875894|16867246|11873706|11103886|11752352|20643630
DRD2	DRD2	Definite	DRD2	THIETHYLPERAZINE MALATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	METOCLOPRAMIDE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	LOXAPINE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|TTD	9570468|8665533|9342550|8101879|11752352|6239298|15694653
DRD2	DRD2	Definite	DRD2	CARPHENAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	4887393|4889058|11752352|4861216
DRD2	DRD2	Definite	DRD2	PERPHENAZINE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|TTD	2573104|7508675|11873706|11752352|15007534|7828655
DRD2	DRD2	Definite	DRD2	HALOPERIDOL LACTATE	inverse agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	THIOTHIXENE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	TRIFLUPROMAZINE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND	239169|30137788|17139284|9081563|17016423
DRD2	DRD2	Definite	DRD2	TERGURIDE	antagonist|agonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	DOMPERIDONE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	15894081|18970411|12010185|11752352|1683559
DRD2	DRD2	Definite	DRD2	LEVOMEPROMAZINE	antagonist	DrugBank|ChemblInteractions|TTD	2870716|15701205|10592235
DRD2	DRD2	Definite	DRD2	PROCHLORPERAZINE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|GuideToPharmacology|PharmGKB|TTD	17044574|2527092|17169748|18955042|18534808|11752352|24360851|16677982
DRD2	DRD2	Definite	DRD2	PRAMIPEXOLE DIHYDROCHLORIDE	agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	DROPERIDOL	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|TTD	2527092|1549935|14633536|20358234
DRD2	DRD2	Definite	DRD2	THIORIDAZINE	antagonist	DrugBank|TdgClinicalTrial|ChemblInteractions|TEND|TTD	7689973|9292626|1978482|16434058|1352051
DRD2	DRD2	Definite	DRD2	PROCHLORPERAZINE EDISYLATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	APOMORPHINE	agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	11343576|15037665|10494453|18691132|11215397|10641988|11752352|11212866|11692072
DRD2	DRD2	Definite	DRD2	BROMOCRIPTINE MESYLATE	agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	MESORIDAZINE BESYLATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	ROXINDOLE	antagonist|agonist	GuideToPharmacology|TTD	""
DRD2	DRD2	Definite	DRD2	ETICLOPRIDE	antagonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	APLINDORE FUMARATE	partial agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	LURASIDONE	antagonist	DrugBank|TdgClinicalTrial|TEND	23545936
DRD2	DRD2	Definite	DRD2	PIRIBEDIL	agonist	DrugBank|GuideToPharmacology	10728880
DRD2	DRD2	Definite	DRD2	FLUPHENAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology	7508675|11873706|11752352|7828655
DRD2	DRD2	Definite	DRD2	PROCHLORPERAZINE MALEATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	IMIPRAMINE	binder	DrugBank	15081025
DRD2	DRD2	Definite	DRD2	BENPERIDOL	antagonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	PROPIOMAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND	19110200|18471899|17139284|17016423|22507664
DRD2	DRD2	Definite	DRD2	AMISULPRIDE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|PharmGKB|TTD	12404702|11873706|25679126|16696579
DRD2	DRD2	Definite	DRD2	ERGOLOID MESYLATES	agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	BENZQUINAMIDE	agonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	ZOTEPINE	antagonist	DrugBank|GuideToPharmacology	23427194
DRD2	DRD2	Definite	DRD2	ACETOPHENAZINE MALEATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	MINAPRINE	agonist	DrugBank|TdgClinicalTrial|TEND	7862862|17139284|17016423
DRD2	DRD2	Definite	DRD2	THIOTHIXENE	antagonist	DrugBank|ChemblInteractions|TTD	15694263|3039860|16867246|11873706|11103886|11752352|20643630
DRD2	DRD2	Definite	DRD2	THIETHYLPERAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|TTD	15469457|17139284|17016423
DRD2	DRD2	Definite	DRD2	OLANZAPINE PAMOATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	MIANSERIN	antagonist	DrugBank	2576228
DRD2	DRD2	Definite	DRD2	PROMAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology	19110200|18471899|17139284|17016423
DRD2	DRD2	Definite	DRD2	PRIDOPIDINE	modulator	TdgClinicalTrial|ChemblInteractions|TTD	""
DRD2	DRD2	Definite	DRD2	BENZQUINAMIDE HYDROCHLORIDE	modulator	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	BIFEPRUNOX	partial agonist	DrugBank|TdgClinicalTrial|ChemblInteractions	17393144|17659474
DRD2	DRD2	Definite	DRD2	MAPROTILINE	binder	DrugBank	6086881
DRD2	DRD2	Definite	DRD2	QUINELORANE	agonist	GuideToPharmacology	""
DRD2	DRD2	Definite	DRD2	BLONANSERIN	antagonist	DrugBank|GuideToPharmacology|TTD	20030420
DRD2	DRD2	Definite	DRD2	TIAPRIDE	blocker	DrugBank|TTD	11520476
DRD2	DRD2	Definite	DRD2	THIOPROPERAZINE	antagonist	DrugBank	15694263|16867246|11873706|11103886|11752352|20643630
DRD2	DRD2	Definite	DRD2	KETAMINE	partial agonist|agonist	DrugBank	19391150
DRD2	DRD2	Definite	DRD2	SARIZOTAN HYDROCHLORIDE	partial agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	THIETHYLPERAZINE MALEATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	TRIFLUOPERAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology	8102973|1676523|11873706|11752352|15695070|945467
DRD2	DRD2	Definite	DRD2	ROPINIROLE	agonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|PharmGKB|TTD	19557097|10446316|18691132|10641988|18808942|11752352|17573046|1683559
DRD2	DRD2	Definite	DRD2	LOXAPINE SUCCINATE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	FLUPHENAZINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	SERIDOPIDINE	modulator	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	TRIFLUPROMAZINE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	MOLINDONE HYDROCHLORIDE	antagonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	ERGOTAMINE	agonist	DrugBank	8242725|7665369
DRD2	DRD2	Definite	DRD2	MESORIDAZINE	antagonist	DrugBank|TdgClinicalTrial|TEND|GuideToPharmacology|TTD	15357957|11752352|16135699
DRD2	DRD2	Definite	DRD2	ARIPIPRAZOLE LAUROXIL	partial agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	HALOPERIDOL DECANOATE	inverse agonist	ChemblInteractions	""
DRD2	DRD2	Definite	DRD2	SB-773812	antagonist	ChemblInteractions	""
