source	target
SNAP25	"Diabetes Mellitus, Non-Insulin-Dependent"
SNAP25	"Congenital Myasthenic Syndromes, Presynaptic"
SNAP25	"MYASTHENIC SYNDROME, CONGENITAL, 18"
OLR1	CLEC5A
OLR1	Hypertensive disease
OLR1	Myocardial Infarction
GAD1	IL4I1
GAD1	Bipolar Disorder
GAD1	Major Depressive Disorder
GAD1	"Cerebral Palsy, Spastic Quadriplegic, 1"
CARTPT	TNFRSF9
CARTPT	Cocaine Abuse
CARTPT	Obesity
CR2	Common Variable Immunodeficiency
CR2	"Lupus Erythematosus, Systemic"
CCL7	Glomerulonephritis
CCL7	"Nephritis, Interstitial"
IL23R	CELECOXIB
CR2	PROGESTERONE
EPHA6	HESPERADIN
EPHA6	VANDETANIB
EPHA6	FOSTAMATINIB
CCL20	GSK-3050002
BLK	CEP-11981
BLK	IBRUTINIB
BLK	ILORASERTIB
BLK	DASATINIB
BLK	XL-228
BLK	ACALABRUTINIB
BLK	NINTEDANIB
BLK	ENMD-981693
BLK	TG100-801
BLK	HESPERADIN
BLK	ZANUBRUTINIB
BLK	FOSTAMATINIB
BLK	ALISERTIB
BLK	MLN-8054
BLK	GEFITINIB
BLK	ENTRECTINIB
BLK	GO-6976
BLK	SP-600125
BLK	TAE-684
BLK	DOVITINIB
BLK	LINIFANIB
BLK	R-406
BLK	CENISERTIB
BLK	LAUROGUADINE
BLK	ENMD-2076
BLK	GW441756X
BLK	CEDIRANIB
BLK	PF-00562271
BLK	AZD-1152-HQPA
BLK	TOZASERTIB
BLK	OSI-632
BLK	CHEMBL2005186
BLK	RG-1530
BLK	CYC-116
BLK	CHEMBL578061
BLK	ERLOTINIB
BLK	SORAFENIB
BLK	ALSTERPAULLONE
TNFRSF9	UTOMILUMAB
TNFRSF9	URELUMAB
IDO1	LINRODOSTAT
IDO1	EPACADOSTAT
IDO1	NECROSTATIN
IDO1	NORHARMANE
IDO1	PF-06840003
IDO1	TRYPTANTHRIN
IDO1	NAVOXIMOD
IDO1	NABIXIMOLS
IDO1	CANNABIDIOL
IDO1	PHENYLHYDRAZINE
IDO1	CHEMBL1933308
IDO1	CHEMBL1224312
IDO1	CHEMBL14145
IDO1	TRYPTOPHAN
IDO1	2-MERCAPTOBENZOTHIAZOLE
IDO1	CHEMBL1668301
CNR2	CHEMBL561013
CNR2	TEDALINAB
CNR2	IBIPINABANT
CNR2	GW842166X
CNR2	NABILONE
CNR2	ANANDAMIDE
CNR2	LENABASUM
CNR2	NONABINE
CNR2	CHEMBL371214
CNR2	OLORINAB
CNR2	SURINABANT
CNR2	PRS-211375
CNR2	CHEMBL181633
CNR2	TARANABANT
CNR2	LY2828360
CNR2	2-ARACHIDONOYLGLYCEROL
CNR2	DRONABINOL
CNR2	DEXANABINOL
CNR2	SAD448
CNR2	CHEMBL497392
CNR2	CHEMBL1354658
CNR2	CANNABIDIOL
CNR2	LASOFOXIFENE
CNR2	TETRAHYDROCANNABIVARIN
CNR2	CHEMBL285932
CNR2	CHEMBL306764
CNR2	HONOKIOL
CNR2	"N-[6-(4-CHLOROPHENYL)-7-(2,4-DICHLOROPHENYL)-2,2-DIMETHYL-3,4-DIHYDRO-2H-PYRANO[2,3-B]PYRIDINE-4-YL]-4,4,4-TRIFLUORO-3-HYDROXYBUTANAMIDE (DIASTEREOMERIC MIX)"
CNR2	CP-55940
CNR2	FERRUGINENE C
CNR2	NABIXIMOLS
CNR2	CHEMBL3186422
CNR2	S-777469
CNR2	WIN-552122
S1PR5	FINGOLIMOD
S1PR5	OZANIMOD
S1PR5	SIPONIMOD
S1PR5	FINGOLIMOD HYDROCHLORIDE
S1PR5	PONESIMOD
S1PR5	AMISELIMOD HYDROCHLORIDE
S1PR5	ETRASIMOD
S1PR5	ASP-4058
CARTPT	AMPHETAMINE
CARTPT	PROGESTERONE
CARTPT	DEXAMETHASONE
CARTPT	INSULIN
IL1A	BERMEKIMAB
IL1A	RILONACEPT
IL1A	OLANZAPINE
IL1A	AMG-108
IL1A	HYDROXYCHLOROQUINE
IL1A	MABP1
DRD2	OLANZAPINE
DRD2	ASENAPINE MALEATE
DRD2	SULPIRIDE
DRD2	ILOPERIDONE
DRD2	MEMANTINE
DRD2	FLUPENTIXOL
DRD2	HALOPERIDOL
DRD2	SUMANIROLE
DRD2	PEROSPIRONE
DRD2	CHLORPROMAZINE
DRD2	ZIPRASIDONE HYDROCHLORIDE
DRD2	DOPAMINE
DRD2	CARPHENAZINE MALEATE
DRD2	FLUPHENAZINE DECANOATE
DRD2	QUETIAPINE
DRD2	BREXPIPRAZOLE
DRD2	LEVODOPA
DRD2	PRAMIPEXOLE
DRD2	ARIPIPRAZOLE
DRD2	CABERGOLINE
DRD2	ZIPRASIDONE
DRD2	VILAZODONE
DRD2	CARIPRAZINE
DRD2	FLUPHENAZINE ENANTHATE
DRD2	ORDOPIDINE
DRD2	LURASIDONE HYDROCHLORIDE
DRD2	YOHIMBINE
DRD2	LISURIDE
DRD2	PARDOPRUNOX
DRD2	DESIPRAMINE
DRD2	TRIMIPRAMINE MALEATE
DRD2	PERGOLIDE
DRD2	ASENAPINE
DRD2	ROPINIROLE HYDROCHLORIDE
DRD2	PIMOZIDE
DRD2	BUSPIRONE
DRD2	ACEPROMAZINE
DRD2	RISPERIDONE
DRD2	TETRABENAZINE
DRD2	PERGOLIDE MESYLATE
DRD2	QUINPIROLE
DRD2	CHLORPROTHIXENE
DRD2	SERTINDOLE
DRD2	AMANTADINE
DRD2	THIORIDAZINE HYDROCHLORIDE
DRD2	APOMORPHINE HYDROCHLORIDE
DRD2	ALIZAPRIDE
DRD2	ZUCLOPENTHIXOL
DRD2	ROTIGOTINE
DRD2	LOXAPINE HYDROCHLORIDE
DRD2	BROMOPRIDE
DRD2	ACETOPHENAZINE
DRD2	CLOZAPINE
DRD2	AMOXAPINE
DRD2	PROMETHAZINE
DRD2	PALIPERIDONE
DRD2	CARIPRAZINE HYDROCHLORIDE
DRD2	PIPOTIAZINE
DRD2	THIETHYLPERAZINE MALATE
DRD2	METOCLOPRAMIDE HYDROCHLORIDE
DRD2	LOXAPINE
DRD2	CARPHENAZINE
DRD2	PERPHENAZINE
DRD2	HALOPERIDOL LACTATE
DRD2	THIOTHIXENE HYDROCHLORIDE
DRD2	TRIFLUPROMAZINE
DRD2	TERGURIDE
DRD2	DOMPERIDONE
DRD2	LEVOMEPROMAZINE
DRD2	PROCHLORPERAZINE
DRD2	PRAMIPEXOLE DIHYDROCHLORIDE
DRD2	DROPERIDOL
DRD2	THIORIDAZINE
DRD2	PROCHLORPERAZINE EDISYLATE
DRD2	APOMORPHINE
DRD2	BROMOCRIPTINE MESYLATE
DRD2	MESORIDAZINE BESYLATE
DRD2	ROXINDOLE
DRD2	ETICLOPRIDE
DRD2	APLINDORE FUMARATE
DRD2	LURASIDONE
DRD2	PIRIBEDIL
DRD2	FLUPHENAZINE
DRD2	PROCHLORPERAZINE MALEATE
DRD2	IMIPRAMINE
DRD2	BENPERIDOL
DRD2	PROPIOMAZINE
DRD2	AMISULPRIDE
DRD2	ERGOLOID MESYLATES
DRD2	BENZQUINAMIDE
DRD2	ZOTEPINE
DRD2	ACETOPHENAZINE MALEATE
DRD2	MINAPRINE
DRD2	THIOTHIXENE
DRD2	THIETHYLPERAZINE
DRD2	OLANZAPINE PAMOATE
DRD2	MIANSERIN
DRD2	PROMAZINE
DRD2	PRIDOPIDINE
DRD2	BENZQUINAMIDE HYDROCHLORIDE
DRD2	BIFEPRUNOX
DRD2	MAPROTILINE
DRD2	QUINELORANE
DRD2	BLONANSERIN
DRD2	TIAPRIDE
DRD2	THIOPROPERAZINE
DRD2	KETAMINE
DRD2	SARIZOTAN HYDROCHLORIDE
DRD2	THIETHYLPERAZINE MALEATE
DRD2	TRIFLUOPERAZINE
DRD2	ROPINIROLE
DRD2	LOXAPINE SUCCINATE
DRD2	FLUPHENAZINE HYDROCHLORIDE
DRD2	SERIDOPIDINE
DRD2	TRIFLUPROMAZINE HYDROCHLORIDE
DRD2	MOLINDONE HYDROCHLORIDE
DRD2	ERGOTAMINE
DRD2	MESORIDAZINE
DRD2	ARIPIPRAZOLE LAUROXIL
DRD2	HALOPERIDOL DECANOATE
DRD2	SB-773812
DRD2	QUETIAPINE FUMARATE
DRD2	AMPHETAMINE
DRD2	NORTRIPTYLINE
DRD2	MOLINDONE
DRD2	BROMOCRIPTINE
DRD2	TRIFLUOPERAZINE HYDROCHLORIDE
DRD2	METOCLOPRAMIDE
DRD2	LUMATEPERONE
DRD2	ZIPRASIDONE MESYLATE
DRD2	FLUSPIRILENE
DRD2	CHLORPROMAZINE HYDROCHLORIDE
DRD2	PROMAZINE HYDROCHLORIDE
DRD2	REMOXIPRIDE
DRD2	NAFADOTRIDE
DRD2	RACLOPRIDE
DRD2	TRIMIPRAMINE
DRD2	ETOPERIDONE
DRD2	JNJ-37822681
DRD2	ESCITALOPRAM
DRD2	SARIZOTAN
DRD2	PAROXETINE
DRD2	TETRAHYDROPALMATINE
DRD2	PIPAMPERONE
DRD2	QUINAGOLIDE
DRD2	MELPERONE
DRD2	CINNARIZINE
DRD2	LAMOTRIGINE
DRD2	DIHYDROERGOCRYPTINE
DRD2	TALIPEXOLE
DRD2	BICIFADINE
DRD2	DAPIPRAZOLE
DRD2	COCAINE
DRD2	BROMPERIDOL
DRD2	PIMAVANSERIN
DRD2	METHYLDOPA
DRD2	METHAMPHETAMINE
DRD2	AMITIFADINE
DRD2	BEVANTOLOL
DRD2	5-OH-DPAT
DRD2	ZICRONAPINE
DRD2	ANIRACETAM
DRD2	BUPROPION
DRD2	APLINDORE
DRD2	PSEUDOEPHEDRINE
DRD2	ETILEVODOPA
DRD2	DEXPRAMIPEXOLE
DRD2	DIHYDREXIDINE
DRD2	DIACETYLMORPHINE
DRD2	SUMATRIPTAN
DRD2	ALCOHOL
DRD2	DIHYDROERGOTAMINE
DRD2	RISPERDAL
DRD2	PIPERACETAZINE
DRD2	ONC-201
DRD2	METHADONE
DRD2	STEPHOLIDINE
DRD2	UMESPIRONE
DRD2	RASAGILINE
DRD2	PERAZINE
DRD2	ROLICYCLIDINE
DRD2	NICOTINE
DRD2	BL-1020
DRD2	DOCARPAMINE
DRD2	LITHIUM
DRD2	BRASOFENSINE
DRD2	CARMOXIROLE
DRD2	ERGONOVINE
DRD2	ABAPERIDONE
DRD2	E-FLUPENTIXOL
DRD2	MELEVODOPA
DRD2	MORPHINE
DRD2	MEPHENTERMINE
DRD2	METHYLPHENIDATE
DRD2	PHENTOLAMINE
DRD2	PHENOXYBENZAMINE
DRD2	TOLAZOLINE
DRD2	OCAPERIDONE
DRD2	PHENYLTOLOXAMINE
DRD2	DENOPAMINE
DRD2	DISULFIRAM
DRD2	DOPEXAMINE
DRD2	NAPHAZOLINE
DRD2	NEMONAPRIDE
DRD2	PHENYLEPHRINE
DRD2	ITOPRIDE
DRD2	EPHEDRINE
DRD2	METARAMINOL
ADRA2C	ZIPRASIDONE
ADRA2C	PERGOLIDE
ADRA2C	RAUWOLSCINE
ADRA2C	YOHIMBINE
ADRA2C	NOREPINEPHRINE
ADRA2C	DEXMEDETOMIDINE HYDROCHLORIDE
ADRA2C	ASENAPINE
ADRA2C	TIZANIDINE
ADRA2C	NOREPINEPHRINE BITARTRATE
ADRA2C	QUETIAPINE
ADRA2C	CHLORPROMAZINE
ADRA2C	XYLOMETAZOLINE
ADRA2C	EPINEPHRINE
ADRA2C	RAUWOLFIA SERPENTINA
ADRA2C	ILOPERIDONE
ADRA2C	OXYMETAZOLINE
ADRA2C	HYDROXYAMPHETAMINE HYDROBROMIDE
ADRA2C	NAPHAZOLINE HYDROCHLORIDE
ADRA2C	SPIROXATRINE
ADRA2C	CABERGOLINE
ADRA2C	METHAMPHETAMINE
ADRA2C	PALIPERIDONE
ADRA2C	CARVEDILOL
ADRA2C	TIZANIDINE HYDROCHLORIDE
ADRA2C	CLONIDINE HYDROCHLORIDE
ADRA2C	TOLAZOLINE
ADRA2C	RISPERIDONE
ADRA2C	MIRTAZAPINE
ADRA2C	LOXAPINE
ADRA2C	APRACLONIDINE
ADRA2C	APOMORPHINE
ADRA2C	ALSEROXYLON
ADRA2C	GUANFACINE HYDROCHLORIDE
ADRA2C	CLONIDINE
ADRA2C	LEVOMEPROMAZINE
ADRA2C	XYLAZINE
ADRA2C	TERGURIDE
ADRA2C	LURASIDONE
ADRA2C	METHYLDOPATE HYDROCHLORIDE
ADRA2C	BROMOCRIPTINE
ADRA2C	EPHEDRA
ADRA2C	PHENOXYBENZAMINE HYDROCHLORIDE
ADRA2C	OXYMETAZOLINE HYDROCHLORIDE
ADRA2C	PHENTOLAMINE
ADRA2C	MEPHENTERMINE SULFATE
ADRA2C	METHYLDOPA
ADRA2C	BRIMONIDINE
ADRA2C	MIANSERIN
ADRA2C	LEVONORDEFRIN
ADRA2C	CHEMBL362051
ADRA2C	DROXIDOPA
ADRA2C	GUANFACINE
ADRA2C	OLANZAPINE
ADRA2C	PRAZOSIN
ADRA2C	ARIPIPRAZOLE
ADRA2C	DEXMEDETOMIDINE
ADRA2C	FADOLMIDINE HYDROCHLORIDE
ADRA2C	LABETALOL HYDROCHLORIDE
ADRA2C	BRIMONIDINE TARTRATE
ADRA2C	GUANABENZ ACETATE
ADRA2C	GUANABENZ
ADRA2C	ROXINDOLE
ADRA2C	FENOLDOPAM
ADRA2C	ESMIRTAZAPINE MALEATE
ADRA2C	ERGOLOID MESYLATES
ADRA2C	PHENTOLAMINE MESYLATE
ADRA2C	PIRIBEDIL
ADRA2C	PHENOXYBENZAMINE
ADRA2C	CLOZAPINE
ADRA2C	APRACLONIDINE HYDROCHLORIDE
ADRA2C	LISURIDE
ADRA2C	BREXPIPRAZOLE
ADRA2C	AGMATINE
ADRA2C	EPINEPHRINE BITARTRATE
ADRA2C	TETRAHYDROZOLINE HYDROCHLORIDE
ADRA2C	TOLAZOLINE HYDROCHLORIDE
ADRA2C	LOFEXIDINE
ADRA2C	DIPIVEFRIN HYDROCHLORIDE
ADRA2C	DRONEDARONE
ADRA2C	PIZOTYLINE
ADRA2C	CELIPROLOL
ADRA2C	RACEPINEPHRINE
ADRA2C	TETRAHYDROZOLINE
ADRA2C	AMOSULALOL
ADRA2C	FIPAMEZOLE
ADRA2C	AMEZINIUM
ADRA2C	BETHANIDINE
ADRA2C	HALOPERIDOL
ADRA2C	DOPAMINE
ADRA2C	BUCINDOLOL
ADRA2C	TETRASUL
ADRA2C	DEBRISOQUIN
ADRA2C	CHEMBL609728
ADRA2C	PROPYLHEXEDRINE
ADRA2C	OCAPERIDONE
ADRA2C	SENREBOTASE
ADRA2C	DIHYDROERGOCRISTINE
ADRA2C	MEDETOMIDINE
ADRA2C	MOXONIDINE
ADRA2C	RILMENIDINE
ADRA2C	ORM-12741
ADRA2C	ISOPROTERENOL
ADRA2C	FADOLMIDINE
ADRA2C	ERGOTAMINE
ADRA2C	CYCLOBENZAPRINE
GAD1	PYRIDOXAL PHOSPHATE
GAD1	GLUTAMIC ACID
GAD1	METHADONE
CXCL10	NI-0801
CXCL10	REGRAMOSTIM
CXCL10	METHYLPREDNISOLONE
CXCL10	ANTIBIOTIC
CXCL10	RITONAVIR
CXCL10	STAVUDINE
CXCL10	ATORVASTATIN
CXCL10	ATROPINE
CXCL10	TESTOSTERONE
CXCL10	OXALIPLATIN
CXCL10	ELDELUMAB
CXCL10	ZIDOVUDINE
CXCL10	CLOVE OIL
SNAP25	INCOBOTULINUMTOXINA
SNAP25	ONABOTULINUMTOXINA
SNAP25	ABOBOTULINUMTOXINA
SNAP25	DIAZOXIDE
IL4I1	ANTHRANILIC ACID
IL4I1	FLAVIN ADENIN DINUCLEOTIDE
CXCL13	RITUXIMAB
IFNG	FONTOLIZUMAB
IFNG	EMAPALUMAB
IFNG	MELATONIN
IFNG	CISPLATIN
IFNG	IBUPROFEN
IFNG	THEOPHYLLINE
IFNG	PEFLOXACIN
IFNG	TRASTUZUMAB
IFNG	SURAMIN
IFNG	PREDNISONE
IFNG	GLUCOSAMINE
IFNG	OLSALAZINE
IFNG	BLEOMYCIN
IFNG	AMIKACIN
IFNG	CYCLOPHOSPHAMIDE
IFNG	METHYLPREDNISOLONE
IFNG	MELPHALAN
IFNG	THROMBIN
IFNG	AMITRIPTYLINE
GZMB	HEXACHLOROPHENE
